model,experiment,region_name,horizon,n,MAE,RMSE,MASE,sMAPE,modell
timesfm_univ,A_univariat,Västmanlands län,3,45.0,80.70349324544271,102.62314656599996,0.3911102128643146,24.110388678541522,TimesFM A (univariat)
timesfm_univ,A_univariat,Västmanlands län,6,42.0,94.21816834949311,111.32251773013977,0.4566058592629379,28.123731011968943,TimesFM A (univariat)
timesfm_univ,A_univariat,Västra Götalands län,1,47.0,235.09444216464428,288.0960945019938,0.5575810511080417,17.86695387027097,TimesFM A (univariat)
timesfm_univ,A_univariat,Västra Götalands län,3,45.0,266.77143012152777,335.4468909938268,0.6327103824453016,21.191119688063555,TimesFM A (univariat)
timesfm_univ,A_univariat,Västra Götalands län,6,42.0,309.65647670200894,360.83318143925095,0.7344222269661336,23.904304016684495,TimesFM A (univariat)
timesfm_univ,A_univariat,Örebro län,1,47.0,106.7127588150349,128.34567529777803,0.5403100380531259,20.388835914213757,TimesFM A (univariat)
timesfm_univ,A_univariat,Örebro län,3,45.0,124.1460442437066,145.7878603769566,0.6285785751798177,23.366635673969085,TimesFM A (univariat)
timesfm_univ,A_univariat,Örebro län,6,42.0,133.25465102422805,162.294280526537,0.6746974435404876,24.69704533863189,TimesFM A (univariat)
timesfm_univ,A_univariat,Östergötlands län,1,47.0,142.38923222967918,181.6800687659499,0.6898665344935596,21.45772556597929,TimesFM A (univariat)
timesfm_univ,A_univariat,Östergötlands län,3,45.0,160.96926812065973,204.39159122660502,0.7798855954166581,24.638579294874337,TimesFM A (univariat)
timesfm_univ,A_univariat,Östergötlands län,6,42.0,178.1080322265625,219.68642134749746,0.8629217886322382,28.287389665450913,TimesFM A (univariat)
timesfm_wx,WX,Blekinge län,1,47.0,43.59085050542304,58.01024087651784,0.4306050083413259,21.38541735542322,TimesFM D (+väder)
timesfm_wx,WX,Blekinge län,3,45.0,48.26354014078776,64.20749982816653,0.47676340020758085,24.28283127235382,TimesFM D (+väder)
timesfm_wx,WX,Blekinge län,6,42.0,55.708451407296316,75.04276379129625,0.550306725030218,27.74824438872921,TimesFM D (+väder)
timesfm_wx,WX,Dalarnas län,1,47.0,376.95100824883644,768.7034553803729,0.9285282851820871,20.303775152221736,TimesFM D (+väder)
timesfm_wx,WX,Dalarnas län,3,45.0,485.92915988498265,946.5251601456092,1.1969697909658474,26.832027213738158,TimesFM D (+väder)
timesfm_wx,WX,Dalarnas län,6,42.0,491.59961954752606,939.4827942605066,1.21093760660087,27.39952488848717,TimesFM D (+väder)
timesfm_wx,WX,Gotlands län,1,47.0,37.21813201904297,50.76595124348094,0.8078991129961497,40.32679726035043,TimesFM D (+väder)
timesfm_wx,WX,Gotlands län,3,45.0,39.351832665337454,51.6638374494761,0.8542156465249852,44.04530233574547,TimesFM D (+väder)
timesfm_wx,WX,Gotlands län,6,42.0,41.82290258861723,50.78237368392254,0.90785550137175,49.56905983861651,TimesFM D (+väder)
timesfm_wx,WX,Gävleborgs län,1,47.0,538.999515614611,1315.263438659124,1.0305918080585297,22.07823744699631,TimesFM D (+väder)
timesfm_wx,WX,Gävleborgs län,3,45.0,750.2706041124131,1710.063192250192,1.4345518243067172,31.47098839778908,TimesFM D (+väder)
timesfm_wx,WX,Gävleborgs län,6,42.0,782.1723836263021,1750.9577952816785,1.495549490681266,33.14050875631386,TimesFM D (+väder)
timesfm_wx,WX,Götaland,1,47.0,638.6928555103059,786.7030274776262,0.4269401763876163,13.645076426527819,TimesFM D (+väder)
timesfm_wx,WX,Götaland,3,45.0,892.4722384982639,1060.5310316730634,0.5965813640126921,18.662704409099902,TimesFM D (+väder)
timesfm_wx,WX,Götaland,6,42.0,1084.3876429966517,1316.237882179405,0.7248690001450495,22.8193067203748,TimesFM D (+väder)
timesfm_wx,WX,Hallands län,1,47.0,52.19982098518534,69.86667944516361,0.419761406314016,21.26234117127816,TimesFM D (+väder)
timesfm_wx,WX,Hallands län,3,45.0,55.83773193359375,74.14322649585375,0.4490154264797644,22.362734525016023,TimesFM D (+väder)
timesfm_wx,WX,Hallands län,6,42.0,67.43190729050409,89.96400577902237,0.5422492204088512,27.316030992387525,TimesFM D (+väder)
timesfm_wx,WX,Hela landet,1,47.0,2493.284449800532,3213.99368050886,0.6748901555658948,12.5781159425981,TimesFM D (+väder)
timesfm_wx,WX,Hela landet,3,45.0,3586.7971571180556,4194.446775372825,0.9708856490659837,18.067657093209327,TimesFM D (+väder)
timesfm_wx,WX,Hela landet,6,42.0,3785.5914248511904,4378.804670590284,1.0246959129878386,18.813519720261557,TimesFM D (+väder)
timesfm_wx,WX,Jämtlands län,1,47.0,433.65468386386306,576.2840947183366,0.7163230401469265,19.326915348861608,TimesFM D (+väder)
timesfm_wx,WX,Jämtlands län,3,45.0,550.9005805121528,691.0850250597593,0.9099931197216254,24.70395396618432,TimesFM D (+väder)
timesfm_wx,WX,Jämtlands län,6,42.0,569.7873273577009,689.1170998441157,0.9411907809537027,25.221865396737144,TimesFM D (+väder)
